input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url
ads.takealot.com,,200,48,ads.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,ads.takealot.com,cloudflare,443,https://ads.takealot.com:443,https,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:ae3d,HSTS,1,False,True,,
blitz.takealot.com,Attention Required! | Cloudflare,403,4514,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,google,443,https://blitz.takealot.com:443,https,cloudflare,text/html,GET,34.77.94.112,/,1032148013,34.77.94.112,HSTS,94,False,True,,https://www.takealot.com
clicks.takealot.com,404 Not Found,404,143,clicks.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,clicks.takealot.com,cloudflare,443,https://clicks.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,1593207841,2606:4700::6813:af3d,HSTS,8,False,True,,
em.takealot.com,TAKEALOT,200,3502,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,google,443,https://em.takealot.com:443,https,cloudflare,text/html,GET,34.77.94.112,/,58717860,34.77.94.112,HSTS,101,False,True,,https://www.takealot.com/account/newsletters/
emails.takealot.com,404 - File or directory not found.,404,1245,emails.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-07-12T00:00:00Z,2024-08-11T23:59:59Z,"CN=page.takealot.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",page.takealot.com,page.takealot.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,a4915cf04855078e2c9c8d35c922bc39,a48d755d05d6295f1844a191de556b5830bea8a9b64a4a1daefeea832f3d6c6f,,ctls,emails.takealot.com,,443,https://emails.takealot.com:443,https,,text/html,GET,13.111.150.233,/,1631801191,13.111.150.233,,30,False,,"Salesforce.com, Inc.",
hangtight.takealot.com,Error 404,404,1951,hangtight.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-16T00:00:00Z,2023-09-25T23:59:59Z,CN=sslcertificate1.queue-it.net,sslcertificate1.queue-it.net,waitingroom.adidas.co.id,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b3b2bbd5cfccbd41c7c17be748c5031a,67c083b2605dbb1cac2e4651f8e9fb6d282d96f9b766361327b048953d2c74e8,,ctls,hangtight.takealot.com,,443,https://hangtight.takealot.com:443,https,Kestrel,text/html,GET,54.72.216.82,/,-1378628694,54.77.39.175,Microsoft ASP.NET,56,False,,,
help.takealot.com,Security check,403,7342,help.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-24T23:37:39Z,2023-09-22T23:37:38Z,CN=help.takealot.com,help.takealot.com,help.takealot.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c73a1e5b48f3295faa9928048b7e678f,f8341210f35fb04a729862b711321c0d0a13b627b7a117a04d9e1add604c86c1,,ctls,help.takealot.com,cloudflare,443,https://help.takealot.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,Cloudflare,98,False,True,,https://help.takealot.com/hc/en-us
img99.takealot.com,404 Not Found,404,143,img99.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,img99.takealot.com,cloudflare,443,https://img99.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,1022194223,2606:4700::6813:af3d,HSTS,8,False,True,,
kofax.takealot.com,IIS Windows Server,200,692,kofax.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,kofax.takealot.com,cloudflare,443,https://kofax.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,-1171069591,2606:4700::6813:ae3d,Microsoft ASP.NET,32,False,True,,
links.email.takealot.com,Anti-Spam and Privacy,200,3323,links.email.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-19T00:00:00Z,2024-05-28T23:59:59Z,"CN=*.acoustic-adm.com, O=Acoustic\, L.P., L=Atlanta, ST=Georgia, C=US",*.acoustic-adm.com,acoustic-adm.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,27fe9597e880b7afde1d00b0810d1dc0,93bffb3dcd3f40d86bdaa888f5389f82b05d1a14a791283b82c57f1b117a8396,True,ctls,links.email.takealot.com,,443,https://links.email.takealot.com:443,https,Apache,text/html,GET,35.169.253.76,/,-1182956792,35.169.253.76,HSTS,149,False,,"Acoustic, L.P.",
maintenance-new.takealot.com,Temporary Technical Glitch,512,26395,maintenance-new.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,maintenance-new.takealot.com,cloudflare,443,https://maintenance-new.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,1759790432,2606:4700::6813:af3d,HSTS,90,False,True,,
media-int.takealot.com,,200,48,media-int.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,media-int.takealot.com,cloudfront,443,https://media-int.takealot.com:443,https,cloudflare,text/plain,GET,13.32.118.155,/,-1840324437,13.32.118.37,Cloudflare,1,False,True,,
media.takealot.com,,200,48,media.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media.takealot.com,cloudflare,443,https://media.takealot.com:443,https,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:ae3d,HSTS,1,False,True,,
media1.takealot.com,,200,48,media1.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media1.takealot.com,cloudflare,443,https://media1.takealot.com:443,https,cloudflare,text/plain,GET,104.19.174.61,/,-1840324437,2606:4700::6813:ae3d,HSTS,1,False,True,,
media3.takealot.com,,200,48,media3.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media3.takealot.com,cloudflare,443,https://media3.takealot.com:443,https,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,,
media4.takealot.com,,200,48,media4.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media4.takealot.com,cloudflare,443,https://media4.takealot.com:443,https,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,,
media99.takealot.com,,200,48,media99.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media99.takealot.com,cloudflare,443,https://media99.takealot.com:443,https,cloudflare,text/plain,GET,104.19.174.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,,
open.e.takealot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,,cloudfront,80,http://open.e.takealot.com:80,http,CloudFront,text/html,GET,18.66.147.80,/,-726038524,18.66.147.104,Amazon Web Services,20,False,True,,
open.email.takealot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,,cloudfront,80,http://open.email.takealot.com:80,http,CloudFront,text/html,GET,18.66.147.80,/,256939465,18.66.147.38,Amazon Web Services,20,False,True,,
openvas.takealot.com,,403,45,openvas.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-04-04T00:00:00Z,2024-04-05T23:59:59Z,CN=*.eu-west-1.es.amazonaws.com,*.eu-west-1.es.amazonaws.com,*.eu-west-1.es.amazonaws.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e2bf4d249d63ebe816c5aa625be3d2db,cb214615136fd427b2d5d140c0418867981ed31af1676e2cec83492123401781,True,ctls,openvas.takealot.com,,443,https://openvas.takealot.com:443,https,,application/json,GET,54.216.209.127,/,-1851265049,54.216.209.127,,1,False,,,
oshlzg.takealot.com,,404,91,oshlzg.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-18T00:00:00Z,2023-08-11T23:59:59Z,"CN=ukgfxw.satofull.jp, O=Criteo Technology SAS, L=Paris, ST=ÃŽle-de-France, C=FR",ukgfxw.satofull.jp,ukgfxw.satofull.jp,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,69b2b4e9633c09dc2b5981acddbdea01,4b790c435ca44627c692a41e60199545c5d24318af1510e1ce5e1b1398bfe663,,ctls,oshlzg.takealot.com,,443,https://oshlzg.takealot.com:443,https,Kestrel,text/html,GET,178.250.7.13,/,-1947197333,2a02:2638:3::c,Microsoft ASP.NET,1,False,,Criteo Technology SAS,
page.takealot.com,404 - File or directory not found.,404,1245,page.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-12T00:00:00Z,2024-08-11T23:59:59Z,"CN=page.takealot.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",page.takealot.com,page.takealot.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,a4915cf04855078e2c9c8d35c922bc39,a48d755d05d6295f1844a191de556b5830bea8a9b64a4a1daefeea832f3d6c6f,,ctls,page.takealot.com,,443,https://page.takealot.com:443,https,,text/html,GET,13.111.150.233,/,1631801191,13.111.150.233,,30,False,,"Salesforce.com, Inc.",
pages.mails.takealot.com,403 - Forbidden: Access is denied.,403,1233,pages.mails.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-03-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=pages.s7.exacttarget.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",pages.s7.exacttarget.com,pages.s7.exacttarget.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ad0ce528e2e7d8e4b927915048aa3a0c,c5cc7a343c1eb8a37e9647a26a09c8fcd63898758614a805df34764945647c2c,,ctls,pages.mails.takealot.com,,443,https://pages.mails.takealot.com:443,https,,text/html,GET,136.147.129.25,/,-207424980,136.147.129.25,,30,False,,"Salesforce.com, Inc.",
pay.takealot.com,,404,53,pay.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,pay.takealot.com,google,443,https://pay.takealot.com:443,https,,text/plain,GET,35.233.61.81,/,1840024004,35.233.61.81,HSTS,8,False,True,,
secure.takealot.com,Attention Required! | Cloudflare,403,4514,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,cloudflare,443,https://secure.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,296378120,2606:4700::6813:af3d,HSTS,94,False,True,,https://www.takealot.com
seller-api.takealot.com,,404,82,seller-api.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,seller-api.takealot.com,cloudflare,443,https://seller-api.takealot.com:443,https,cloudflare,application/json,GET,104.19.174.61,/,-417603799,2606:4700::6813:af3d,HSTS,1,False,True,,
seller.takealot.com,Seller Portal,200,8392,seller.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,seller.takealot.com,cloudflare,443,https://seller.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,1868764142,2606:4700::6813:af3d,HSTS,156,False,True,,
sentry-ingress-gcp.takealot.com,,200,,sentry-ingress-gcp.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,sentry-ingress-gcp.takealot.com,google,443,https://sentry-ingress-gcp.takealot.com:443,https,,application/octet-stream,GET,34.77.244.130,/,-1840324437,34.77.244.130,,1,False,True,,
supplier.takealot.com,Supplier Portal,200,727,supplier.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,supplier.takealot.com,cloudflare,443,https://supplier.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,-1270930209,2606:4700::6813:ae3d,HSTS,1,False,True,,
takealot.com,Attention Required! | Cloudflare,403,4514,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,cloudflare,443,https://takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,296378120,2606:4700::6813:af3d,HSTS,94,False,True,,https://www.takealot.com/
view.mails.takealot.com,Error,200,932,view.mails.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-12T00:00:00Z,2024-08-11T23:59:59Z,"CN=view.mails.takealot.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",view.mails.takealot.com,view.mails.takealot.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,e79119b5d5093fc2c88681a458d12d2a,6f91a54ece65a2f295d3cc8cb73c00a5f88c38c94a9afe095d58c228006d9472,,ctls,view.mails.takealot.com,,443,https://view.mails.takealot.com:443,https,,text/html,GET,13.111.152.205,/,1631801191,13.111.152.205,HSTS,28,False,,"Salesforce.com, Inc.",https://view.mails.takealot.com/Error.aspx
zendesk1.takealot.com,,403,16,zendesk1.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,zendesk1.takealot.com,cloudflare,443,https://zendesk1.takealot.com:443,https,cloudflare,text/plain,GET,162.159.128.7,/,,162.159.138.6,HSTS,1,False,True,,
zendesk2.takealot.com,,403,16,zendesk2.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,zendesk2.takealot.com,cloudflare,443,https://zendesk2.takealot.com:443,https,cloudflare,text/plain,GET,162.159.128.7,/,,162.159.138.6,HSTS,1,False,True,,
zendesk3.takealot.com,,403,16,zendesk3.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,zendesk3.takealot.com,cloudflare,443,https://zendesk3.takealot.com:443,https,cloudflare,text/plain,GET,162.159.138.6,/,,162.159.128.7,HSTS,1,False,True,,
zendesk4.takealot.com,,403,16,zendesk4.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,zendesk4.takealot.com,cloudflare,443,https://zendesk4.takealot.com:443,https,cloudflare,text/plain,GET,162.159.128.7,/,,162.159.138.6,HSTS,1,False,True,,
